,Item 1,Item 2,Equality,device1,device2
54,605,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
55,605,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
56,686,767,1,XiaomiRedmi5_J,XiaomiRedmi5_J
57,686,767,1,XiaomiRedmi5_J,XiaomiRedmi5_J
58,745,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
59,745,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
60,653,737,1,XiaomiRedmi5_J,XiaomiRedmi5_J
61,653,737,1,XiaomiRedmi5_J,XiaomiRedmi5_J
62,654,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
63,654,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
64,709,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
65,709,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
66,640,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
67,640,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
68,580,586,1,XiaomiRedmi5_J,XiaomiRedmi5_J
69,580,586,1,XiaomiRedmi5_J,XiaomiRedmi5_J
70,690,734,1,XiaomiRedmi5_J,XiaomiRedmi5_J
71,690,734,1,XiaomiRedmi5_J,XiaomiRedmi5_J
72,609,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
73,609,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
74,809,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
75,809,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
76,580,592,1,XiaomiRedmi5_J,XiaomiRedmi5_J
77,580,592,1,XiaomiRedmi5_J,XiaomiRedmi5_J
78,736,809,1,XiaomiRedmi5_J,XiaomiRedmi5_J
79,736,809,1,XiaomiRedmi5_J,XiaomiRedmi5_J
80,577,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
81,577,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
82,755,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
83,755,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
84,774,799,1,XiaomiRedmi5_J,XiaomiRedmi5_J
85,774,799,1,XiaomiRedmi5_J,XiaomiRedmi5_J
86,665,783,1,XiaomiRedmi5_J,XiaomiRedmi5_J
87,665,783,1,XiaomiRedmi5_J,XiaomiRedmi5_J
88,770,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
89,770,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
90,568,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
91,568,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
92,561,586,1,XiaomiRedmi5_J,XiaomiRedmi5_J
93,561,586,1,XiaomiRedmi5_J,XiaomiRedmi5_J
94,702,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
95,702,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
96,586,596,1,XiaomiRedmi5_J,XiaomiRedmi5_J
97,586,596,1,XiaomiRedmi5_J,XiaomiRedmi5_J
98,583,731,1,XiaomiRedmi5_J,XiaomiRedmi5_J
99,583,731,1,XiaomiRedmi5_J,XiaomiRedmi5_J
100,745,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
101,745,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
102,561,577,1,XiaomiRedmi5_J,XiaomiRedmi5_J
103,561,577,1,XiaomiRedmi5_J,XiaomiRedmi5_J
104,577,841,1,XiaomiRedmi5_J,XiaomiRedmi5_J
105,577,841,1,XiaomiRedmi5_J,XiaomiRedmi5_J
106,769,792,1,XiaomiRedmi5_J,XiaomiRedmi5_J
107,769,792,1,XiaomiRedmi5_J,XiaomiRedmi5_J
108,737,858,1,XiaomiRedmi5_J,XiaomiRedmi5_J
109,737,858,1,XiaomiRedmi5_J,XiaomiRedmi5_J
110,704,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
111,704,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
112,761,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
113,761,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
114,561,819,1,XiaomiRedmi5_J,XiaomiRedmi5_J
115,561,819,1,XiaomiRedmi5_J,XiaomiRedmi5_J
116,661,731,1,XiaomiRedmi5_J,XiaomiRedmi5_J
117,661,731,1,XiaomiRedmi5_J,XiaomiRedmi5_J
118,586,603,1,XiaomiRedmi5_J,XiaomiRedmi5_J
119,586,603,1,XiaomiRedmi5_J,XiaomiRedmi5_J
120,676,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
121,676,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
122,647,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
123,647,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
124,773,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
125,773,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
126,727,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
127,727,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
128,661,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
129,661,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
130,647,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
131,647,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
132,637,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
133,637,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
134,583,592,1,XiaomiRedmi5_J,XiaomiRedmi5_J
135,583,592,1,XiaomiRedmi5_J,XiaomiRedmi5_J
136,609,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
137,609,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
138,762,824,1,XiaomiRedmi5_J,XiaomiRedmi5_J
139,762,824,1,XiaomiRedmi5_J,XiaomiRedmi5_J
140,767,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
141,767,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
142,783,814,1,XiaomiRedmi5_J,XiaomiRedmi5_J
143,783,814,1,XiaomiRedmi5_J,XiaomiRedmi5_J
144,592,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
145,592,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
146,665,729,1,XiaomiRedmi5_J,XiaomiRedmi5_J
147,665,729,1,XiaomiRedmi5_J,XiaomiRedmi5_J
148,798,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
149,798,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
150,712,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
151,712,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
152,742,789,1,XiaomiRedmi5_J,XiaomiRedmi5_J
153,742,789,1,XiaomiRedmi5_J,XiaomiRedmi5_J
154,789,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
155,789,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
156,743,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
157,743,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
158,859,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
159,859,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
160,577,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
161,577,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
162,704,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
163,704,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
164,731,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
165,731,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
166,648,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
167,648,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
168,855,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
169,855,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
170,654,762,1,XiaomiRedmi5_J,XiaomiRedmi5_J
171,654,762,1,XiaomiRedmi5_J,XiaomiRedmi5_J
172,699,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
173,699,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
174,605,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
175,605,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
176,745,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
177,745,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
178,814,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
179,814,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
180,646,652,1,XiaomiRedmi5_J,XiaomiRedmi5_J
181,646,652,1,XiaomiRedmi5_J,XiaomiRedmi5_J
182,676,737,1,XiaomiRedmi5_J,XiaomiRedmi5_J
183,676,737,1,XiaomiRedmi5_J,XiaomiRedmi5_J
184,789,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
185,789,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
186,707,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
187,707,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
188,579,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
189,579,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
190,792,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
191,792,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
192,597,755,1,XiaomiRedmi5_J,XiaomiRedmi5_J
193,597,755,1,XiaomiRedmi5_J,XiaomiRedmi5_J
194,686,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
195,686,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
196,854,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
197,854,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
198,814,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
199,814,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
200,709,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
201,709,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
202,755,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
203,755,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
204,860,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
205,860,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
206,647,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
207,647,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
208,648,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
209,648,873,1,XiaomiRedmi5_J,XiaomiRedmi5_J
210,605,745,1,XiaomiRedmi5_J,XiaomiRedmi5_J
211,605,745,1,XiaomiRedmi5_J,XiaomiRedmi5_J
212,586,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
213,586,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
214,799,814,1,XiaomiRedmi5_J,XiaomiRedmi5_J
215,799,814,1,XiaomiRedmi5_J,XiaomiRedmi5_J
216,592,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
217,592,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
218,580,589,1,XiaomiRedmi5_J,XiaomiRedmi5_J
219,580,589,1,XiaomiRedmi5_J,XiaomiRedmi5_J
220,652,748,1,XiaomiRedmi5_J,XiaomiRedmi5_J
221,652,748,1,XiaomiRedmi5_J,XiaomiRedmi5_J
222,603,640,1,XiaomiRedmi5_J,XiaomiRedmi5_J
223,603,640,1,XiaomiRedmi5_J,XiaomiRedmi5_J
224,766,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
225,766,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
226,729,792,1,XiaomiRedmi5_J,XiaomiRedmi5_J
227,729,792,1,XiaomiRedmi5_J,XiaomiRedmi5_J
228,699,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
229,699,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
230,593,766,1,XiaomiRedmi5_J,XiaomiRedmi5_J
231,593,766,1,XiaomiRedmi5_J,XiaomiRedmi5_J
232,778,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
233,778,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
234,568,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
235,568,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
236,774,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
237,774,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
238,677,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
239,677,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
240,605,709,1,XiaomiRedmi5_J,XiaomiRedmi5_J
241,605,709,1,XiaomiRedmi5_J,XiaomiRedmi5_J
242,647,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
243,647,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
244,647,745,1,XiaomiRedmi5_J,XiaomiRedmi5_J
245,647,745,1,XiaomiRedmi5_J,XiaomiRedmi5_J
246,736,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
247,736,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
248,576,640,1,XiaomiRedmi5_J,XiaomiRedmi5_J
249,576,640,1,XiaomiRedmi5_J,XiaomiRedmi5_J
250,745,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
251,745,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
252,664,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
253,664,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
254,593,709,1,XiaomiRedmi5_J,XiaomiRedmi5_J
255,593,709,1,XiaomiRedmi5_J,XiaomiRedmi5_J
256,597,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
257,597,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
258,652,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
259,652,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
260,609,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
261,609,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
262,672,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
263,672,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
264,706,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
265,706,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
266,677,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
267,677,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
268,661,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
269,661,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
270,583,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
271,583,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
272,654,735,1,XiaomiRedmi5_J,XiaomiRedmi5_J
273,654,735,1,XiaomiRedmi5_J,XiaomiRedmi5_J
274,599,755,1,XiaomiRedmi5_J,XiaomiRedmi5_J
275,599,755,1,XiaomiRedmi5_J,XiaomiRedmi5_J
276,579,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
277,579,727,1,XiaomiRedmi5_J,XiaomiRedmi5_J
278,593,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
279,593,837,1,XiaomiRedmi5_J,XiaomiRedmi5_J
280,593,686,1,XiaomiRedmi5_J,XiaomiRedmi5_J
281,593,686,1,XiaomiRedmi5_J,XiaomiRedmi5_J
282,704,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
283,704,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
284,648,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
285,648,753,1,XiaomiRedmi5_J,XiaomiRedmi5_J
286,589,652,1,XiaomiRedmi5_J,XiaomiRedmi5_J
287,589,652,1,XiaomiRedmi5_J,XiaomiRedmi5_J
288,596,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
289,596,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
290,558,778,1,XiaomiRedmi5_J,XiaomiRedmi5_J
291,558,778,1,XiaomiRedmi5_J,XiaomiRedmi5_J
292,597,609,1,XiaomiRedmi5_J,XiaomiRedmi5_J
293,597,609,1,XiaomiRedmi5_J,XiaomiRedmi5_J
294,653,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
295,653,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
296,580,637,1,XiaomiRedmi5_J,XiaomiRedmi5_J
297,580,637,1,XiaomiRedmi5_J,XiaomiRedmi5_J
298,748,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
299,748,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
300,736,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
301,736,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
302,687,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
303,687,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
304,586,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
305,586,815,1,XiaomiRedmi5_J,XiaomiRedmi5_J
306,690,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
307,690,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
308,677,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
309,677,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
310,735,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
311,735,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
312,686,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
313,686,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
314,661,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
315,661,743,1,XiaomiRedmi5_J,XiaomiRedmi5_J
316,737,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
317,737,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
318,766,798,1,XiaomiRedmi5_J,XiaomiRedmi5_J
319,766,798,1,XiaomiRedmi5_J,XiaomiRedmi5_J
320,665,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
321,665,742,1,XiaomiRedmi5_J,XiaomiRedmi5_J
322,583,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
323,583,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
324,677,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
325,677,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
326,646,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
327,646,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
328,558,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
329,558,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
330,731,736,1,XiaomiRedmi5_J,XiaomiRedmi5_J
331,731,736,1,XiaomiRedmi5_J,XiaomiRedmi5_J
332,609,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
333,609,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
334,558,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
335,558,761,1,XiaomiRedmi5_J,XiaomiRedmi5_J
336,706,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
337,706,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
338,593,734,1,XiaomiRedmi5_J,XiaomiRedmi5_J
339,593,734,1,XiaomiRedmi5_J,XiaomiRedmi5_J
340,561,858,1,XiaomiRedmi5_J,XiaomiRedmi5_J
341,561,858,1,XiaomiRedmi5_J,XiaomiRedmi5_J
342,646,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
343,646,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
344,676,729,1,XiaomiRedmi5_J,XiaomiRedmi5_J
345,676,729,1,XiaomiRedmi5_J,XiaomiRedmi5_J
346,806,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
347,806,830,1,XiaomiRedmi5_J,XiaomiRedmi5_J
348,735,822,1,XiaomiRedmi5_J,XiaomiRedmi5_J
349,735,822,1,XiaomiRedmi5_J,XiaomiRedmi5_J
350,773,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
351,773,878,1,XiaomiRedmi5_J,XiaomiRedmi5_J
352,647,690,1,XiaomiRedmi5_J,XiaomiRedmi5_J
353,647,690,1,XiaomiRedmi5_J,XiaomiRedmi5_J
354,593,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
355,593,689,1,XiaomiRedmi5_J,XiaomiRedmi5_J
356,640,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
357,640,818,1,XiaomiRedmi5_J,XiaomiRedmi5_J
358,690,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
359,690,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
360,558,687,1,XiaomiRedmi5_J,XiaomiRedmi5_J
361,558,687,1,XiaomiRedmi5_J,XiaomiRedmi5_J
362,561,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
363,561,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
364,699,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
365,699,860,1,XiaomiRedmi5_J,XiaomiRedmi5_J
366,664,783,1,XiaomiRedmi5_J,XiaomiRedmi5_J
367,664,783,1,XiaomiRedmi5_J,XiaomiRedmi5_J
368,702,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
369,702,854,1,XiaomiRedmi5_J,XiaomiRedmi5_J
370,767,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
371,767,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
372,597,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
373,597,831,1,XiaomiRedmi5_J,XiaomiRedmi5_J
374,769,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
375,769,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
376,586,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
377,586,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
378,646,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
379,646,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
380,690,778,1,XiaomiRedmi5_J,XiaomiRedmi5_J
381,690,778,1,XiaomiRedmi5_J,XiaomiRedmi5_J
382,699,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
383,699,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
384,731,806,1,XiaomiRedmi5_J,XiaomiRedmi5_J
385,731,806,1,XiaomiRedmi5_J,XiaomiRedmi5_J
386,589,789,1,XiaomiRedmi5_J,XiaomiRedmi5_J
387,589,789,1,XiaomiRedmi5_J,XiaomiRedmi5_J
388,770,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
389,770,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
390,729,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
391,729,823,1,XiaomiRedmi5_J,XiaomiRedmi5_J
392,818,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
393,818,843,1,XiaomiRedmi5_J,XiaomiRedmi5_J
394,603,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
395,603,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
396,648,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
397,648,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
398,769,793,1,XiaomiRedmi5_J,XiaomiRedmi5_J
399,769,793,1,XiaomiRedmi5_J,XiaomiRedmi5_J
400,814,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
401,814,826,1,XiaomiRedmi5_J,XiaomiRedmi5_J
402,735,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
403,735,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
404,745,766,1,XiaomiRedmi5_J,XiaomiRedmi5_J
405,745,766,1,XiaomiRedmi5_J,XiaomiRedmi5_J
406,789,806,1,XiaomiRedmi5_J,XiaomiRedmi5_J
407,789,806,1,XiaomiRedmi5_J,XiaomiRedmi5_J
408,577,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
409,577,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
